news_source,rating,rating_num,type,agree,disagree,perc_agree,url_a,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,url_b,name,location,timezone,country,language,bundle,wait,no_adguard
Fox Online News,right-center,4,News Media,22692,32082,0.414284149413956,https://www.allsides.com/news-source/fox-news-media-bias,1,1,0,1,High,foxnews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,https://www.foxnews.com/,Fox News,New York City,America/New_York,US,en,us-national|us-right-wing,,
HotAir,right-center,4,News Media,941,840,0.52835485682201,https://www.allsides.com/news-source/hotair,0,0,0,1,Low or Initial Rating,hotairblog,https://en.wikipedia.org/wiki/Hot_Air,https://facebook.com/hotaircom,hotairblog,https://hotair.com/,HotAir,Washington,America/New_York,US,en,us-right-wing,,
HuffPost,left,1,News Media,20470,19857,0.507600366999777,https://www.allsides.com/news-source/huffpost-media-bias,1,1,1,1,High,huffpost,https://en.wikipedia.org/wiki/HuffPost,https://www.facebook.com/HuffPost,HuffPost,https://www.huffpost.com/,Huffington Post,New York City,America/New_York,US,en,us-left-wing,,
InfoWars,right,5,News Media,4079,931,0.814171656686627,https://www.allsides.com/news-source/infowars,0,0,0,1,Medium,infowars,"https://en.wikipedia.org/wiki/Alex_Jones_(radio_host) This is the page for Alex Jones//
https://en.wikipedia.org/wiki/InfoWars Page for Infowars",https://www.facebook.com/InfoWars-80256732576/,infowars,https://www.infowars.com/,Infowars,Austin,America/Chicago,US,en,us-right-wing,,
McClatchyDC,center,3,News Media,9,10,0.473684210526316,https://www.allsides.com/news-source/mcclatchydc-media-bias,0,0,0,1,Low or Initial Rating,mcclatchydc,https://en.wikipedia.org/wiki/McClatchy,https://www.facebook.com/McClatchyDCBureau/,McClatchyDC,http://www.mcclatchydc.com,McClatchy DC,Washington,America/New_York,US,en,capitol-hill|mcclatchy,,
Media Matters,left,1,News Media,2368,1494,0.61315380631797,https://www.allsides.com/news-source/media-matters-bias,0,0,0,0,,mmfa,https://en.wikipedia.org/wiki/Media_Matters_for_America,https://www.facebook.com/Mediamatters/?ref=br_rs,mmfa,https://www.mediamatters.org/,Media Matters,Washington,America/New_York,US,en,us-left-wing,,
Mediaite,left-center,2,News Media,615,631,0.493579454253612,https://www.allsides.com/news-source/mediaite-bias,0,0,0,1,Low or Initial Rating,mediaite,https://en.wikipedia.org/wiki/Mediaite,https://www.facebook.com/mediaite/,mediaite,https://www.mediaite.com/,Mediaite,New York City,America/New_York,US,en,,,
Miami Herald,left-center,2,News Media,231,255,0.475308641975309,https://www.allsides.com/news-source/miami-herald,0,0,0,1,Low or Initial Rating,miamiherald,https://en.wikipedia.org/wiki/Miami_Herald,https://www.facebook.com/miamiherald,MiamiHerald,https://www.miamiherald.com/,Miami Herald,Miami,America/New_York,US,en,florida|mcclatchy,,
Mother Jones,left,1,News Media,5412,1010,0.842728122080349,https://www.allsides.com/news-source/mother-jones-bias,0,0,0,0,,motherjones,https://en.wikipedia.org/wiki/Mother_Jones_(magazine),https://www.facebook.com/motherjones/,MotherJones,https://www.motherjones.com/,Mother Jones,San Francisco,America/Los_Angeles,US,en,us-left-wing,,
MSNBC,left,1,News Media,5681,1923,0.747106785902157,https://www.allsides.com/news-source/msnbc,0,0,1,1,Medium,msnbc,https://en.wikipedia.org/wiki/MSNBC,https://www.facebook.com/msnbc/,MSNBC,https://www.msnbc.com/,MSNBC,New York City,America/New_York,US,en,us-national|us-left-wing,,
National Review,right,5,News Media,9338,4448,0.677353837226172,https://www.allsides.com/news-source/national-review,0,0,0,1,Medium,nro,https://en.wikipedia.org/wiki/National_Review,https://www.facebook.com/nationalreview/,NRO,https://www.nationalreview.com/,National Review,Washington,America/New_York,US,en,us-right-wing,,
New Republic,left,1,News Media,1254,673,0.650752464971458,https://www.allsides.com/news-source/new-republic,0,0,0,1,Low or Initial Rating,newrepublic,https://en.wikipedia.org/wiki/The_New_Republic,https://www.facebook.com/newrepublic/,newrepublic,https://newrepublic.com/,New Republic,New York City,America/New_York,US,en,us-left-wing,,
New York Post,right,5,News Media,3669,2522,0.592634469391052,https://www.allsides.com/news-source/new-york-post,0,0,0,1,Low or Initial Rating,nypost,https://en.wikipedia.org/wiki/New_York_Post,https://www.facebook.com/NYPost/,nypost,https://nypost.com/,New York Post,New York City,America/New_York,US,en,new-york-city|new-york-state,,
Newsmax,right,5,News Media,6840,8978,0.432418763434062,https://www.allsides.com/news-source/newsmax,0,1,0,1,Medium,newsmax,https://en.wikipedia.org/wiki/Newsmax_Media,https://www.facebook.com/newsmax/?ref=br_rs,newsmax,https://www.newsmax.com/,Newsmax,Boca Raton,America/New_York,US,en,us-right-wing,,
Newsweek,left-center,2,News Media,2037,2470,0.451963612158864,https://www.allsides.com/news-source/newsweek,0,0,0,0,Medium,thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast,https://www.thedailybeast.com/,Daily Beast,New York City,America/New_York,US,en,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NPR Online News,center,3,News Media,19422,14510,0.572380054226099,https://www.allsides.com/news-source/npr-media-bias,1,1,1,1,Medium,npr,https://en.wikipedia.org/wiki/NPR,https://www.facebook.com/NPR/,NPR,https://www.npr.org/,NPR,Washington,America/New_York,US,en,us-national,,
Orange County Register,right-center,4,News Media,197,163,0.547222222222222,https://www.allsides.com/news-source/orange-county-register,0,0,0,1,Low or Initial Rating,ocregister,https://en.wikipedia.org/wiki/Orange_County_Register,https://www.facebook.com/ocregister,ocregister,https://www.ocregister.com/,Orange County Register,Anaheim,America/Los_Angeles,US,en,socal|california,,
Pittsburgh Post-Gazette,right-center,4,News Media,186,221,0.457002457002457,https://www.allsides.com/news-source/pittsburgh-post-gazette,0,0,0,1,Low or Initial Rating,pittsburghpg,https://en.wikipedia.org/wiki/Pittsburgh_Post-Gazette,https://www.facebook.com/pittsburghpostgazette,PittsburghPG,https://www.post-gazette.com/,Pittsburgh Post-Gazette,Pittsburgh,America/New_York,US,en,pennsylvania,,
Politico,left-center,2,News Media,13776,21465,0.390908317017111,https://www.allsides.com/news-source/politico-media-bias,1,1,1,1,Medium,politico,https://en.wikipedia.org/wiki/Politico,https://www.facebook.com/politico/,politico,https://www.politico.com/,POLITICO,Washington,America/New_York,US,en,capitol-hill,,
PolitiFact,left-center,2,News Media,1520,2138,0.415527610716238,https://www.allsides.com/news-source/politifact,0,0,0,1,Low or Initial Rating,politifact,https://en.wikipedia.org/wiki/PolitiFact,https://facebook.com/politifact,politifact,https://www.politifact.com/,Politifact ,Washington,America/New_York,US,en,capitol-hill,,
